web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
1737994462-378,https://www.expat-dakar.com/ordinateurs?page=58,"Lenovo T14 12 GEN ICOR 7
                                VenantLenovo
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        7. janv., 15:37
                                    
                    375 000 F Cfa
                        
                        773235122
                    
                        772912424",https://www.expat-dakar.com/annonce/lenovo-t14-12-gen-icor-7-6249690,Venant,Lenovo,Noir,12 GEN i7 1.80 GHZ,16.0,512.0,375 000 F Cfa
1737994464-379,https://www.expat-dakar.com/ordinateurs?page=58,"LENOVO IDEAPAD GAMING I5-12GEN/16GO/512/RTX3050
                                NeufLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 15:40
                                    
                    700 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/lenovo-ideapad-gaming-i5-12gen16go512rtx3050-6132337,Neuf,Lenovo,GRIS,I5-12gen,16.0,512.0,700 000 F Cfa
1737994466-380,https://www.expat-dakar.com/ordinateurs?page=58,"Chargeur HP 15 19.5v 3.33a
                                NeufHP
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 15:43
                                    
                    8 000 F Cfa
                        
                        762986463
                    
                        776425609",https://www.expat-dakar.com/annonce/chargeur-hp-15-195v-333a-6249715,Neuf,HP,Gris,i5,16.0,512.0,8 000 F Cfa
1737994469-381,https://www.expat-dakar.com/ordinateurs?page=58,"Dell latitude 5330 i7 12th
                                NeufDell
                                                                                    Derkle,
                                                                                Dakar
                                    
                                        7. janv., 16:12
                                    
                    390 000 F Cfa
                        
                        779077949
                    
                        769455248",https://www.expat-dakar.com/annonce/dell-latitude-5330-i7-12th-6164903,Neuf,Dell,Gris,Core i7 12th,16.0,512.0,390 000 F Cfa
1737994471-382,https://www.expat-dakar.com/ordinateurs?page=58,"HP élit Book
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        7. janv., 17:20
                                    
                    295 000 F Cfa
                        
                        776673864",https://www.expat-dakar.com/annonce/hp-elit-book-6249795,Neuf,,Gris,i5,8.0,256.0,295 000 F Cfa
1737994474-383,https://www.expat-dakar.com/ordinateurs?page=58,"Pc Gaming RTX 4080 Super
                                NeufASUS
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        7. janv., 18:02
                                    
                    2 100 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676",https://www.expat-dakar.com/annonce/pc-gaming-rtx-4080-super-6227658,Neuf,ASUS,Black,i7-13700K,64.0,2048.0,2 100 000 F Cfa
1737994476-384,https://www.expat-dakar.com/ordinateurs?page=58,"ASUS ROG Strix G16 (2024)
                                NeufASUS
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        7. janv., 18:02
                                    
                    1 200 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676",https://www.expat-dakar.com/annonce/asus-rog-strix-g16-2024-6235966,Neuf,ASUS,Grey,i9-14900HX,32.0,1024.0,1 200 000 F Cfa
1737994478-385,https://www.expat-dakar.com/ordinateurs?page=58,"Microsoft Surface Studio
                                VenantMicrosoft Surface
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        7. janv., 18:03
                                    
                    650 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676",https://www.expat-dakar.com/annonce/microsoft-surface-studio-6239322,Venant,Microsoft Surface,Gris,Core i7,16.0,512.0,650 000 F Cfa
1737994481-386,https://www.expat-dakar.com/ordinateurs?page=58,"Asus TUF Gaming RTX 4060
                                NeufASUS
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        7. janv., 18:52
                                    
                    750 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676",https://www.expat-dakar.com/annonce/asus-tuf-gaming-rtx-4060-6233052,Neuf,ASUS,Grey,Ryzen 7-7735HS,16.0,512.0,750 000 F Cfa
1737994486-387,https://www.expat-dakar.com/ordinateurs?page=57,"MacBook Pro 2017 i7 512/16
                                VenantApple
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        7. janv., 22:57
                                    
                                            Vendeur vérifié
                                        
                    345 000 F Cfa
                        
                        771693762",https://www.expat-dakar.com/annonce/macbook-pro-2017-i7-51216-6228608,Venant,Apple,Gris et silver,I7,16.0,512.0,345 000 F Cfa
1737994488-388,https://www.expat-dakar.com/ordinateurs?page=57,"Dell core i5 ssd 128g ram 8g
                                VenantDell
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        8. janv., 10:53
                                    
                    55 000 F Cfa
                        
                        776661568",https://www.expat-dakar.com/annonce/dell-core-i5-ssd-128g-ram-8g-6250351,Venant,Dell,Gris,i5,16.0,512.0,55 000 F Cfa
1737994490-389,https://www.expat-dakar.com/ordinateurs?page=57,"Dell Latitude 5320
                                VenantDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 11:00
                                    
                    200 000 F Cfa
                        
                        709119290",https://www.expat-dakar.com/annonce/dell-latitude-5320-6250336,Venant,Dell,Gris,Intel Core i5,16.0,512.0,200 000 F Cfa
1737994493-390,https://www.expat-dakar.com/ordinateurs?page=57,"Lenovo Yoga 11 X360
                                VenantLenovo
                                                                                    Médina,
                                                                                Dakar
                                    
                                        mercredi, 15:19
                                    
                    90 000 F Cfa
                        
                        709119290",https://www.expat-dakar.com/annonce/lenovo-yoga-11-x360-6250342,Venant,Lenovo,Gris,Intel M3,4.0,128.0,90 000 F Cfa
1737994495-391,https://www.expat-dakar.com/ordinateurs?page=57,"Lenovo X1 CARBON tactile
                                VenantLenovo
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 11:09
                                    
                    300 000 F Cfa
                        
                        775102924
                    
                        774736944
                    
                        771425456",https://www.expat-dakar.com/annonce/lenovo-x1-carbon-tactile-6250366,Venant,Lenovo,Noir,Core i7,16.0,512.0,300 000 F Cfa
1737994498-392,https://www.expat-dakar.com/ordinateurs?page=57,"Ordinateur portable gaming  DELL XPS 15
                                D'occasionDell
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        8. janv., 11:34
                                    
                    220 000 F Cfa
                        
                        786060027",https://www.expat-dakar.com/annonce/ordinateur-portable-gaming-dell-xps-15-6158154,D'occasion,Dell,Gris,Intel(R) Core(TM) i7-6700HQ,16.0,500.0,220 000 F Cfa
1737994500-393,https://www.expat-dakar.com/ordinateurs?page=57,"Dell inspiron Ryzen 7 /16Go/512ssd
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 11:41
                                    
                    500 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/dell-inspiron-ryzen-7-16go512ssd-6250379,Neuf,Dell,Gris,Ryzen 7,16.0,512.0,500 000 F Cfa
1737994503-394,https://www.expat-dakar.com/ordinateurs?page=57,"Asus Rog Strix G15 Ryzen 9 /16Go/512ssd/RTX 3060
                                NeufASUS
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 12:09
                                    
                    700 000 F Cfa
                        
                        775350110",https://www.expat-dakar.com/annonce/asus-rog-strix-g15-ryzen-9-16go512ssdrtx-3060-6137387,Neuf,ASUS,Gris,RYZEN 9,16.0,512.0,700 000 F Cfa
1737994505-395,https://www.expat-dakar.com/ordinateurs?page=57,"Chargeur Surface Pro d’Alimentation pc  Microsoft act
                                NeufMicrosoft Surface
                                                                                    Dieuppeul,
                                                                                Dakar
                                    
                                        8. janv., 12:53
                                    
                                            Vendeur vérifié
                                        
                    30 000 F Cfa
                        
                        775573199
                    
                        775573199
                    
                        338686474",https://www.expat-dakar.com/annonce/chargeur-surface-pro-dalimentation-pc-microsoft-act-5566834,Neuf,Microsoft Surface,NIOR,3,4.0,512.0,30 000 F Cfa
1737994510-396,https://www.expat-dakar.com/ordinateurs?page=56,"Promo ☄️Hp EliteBook 840 Corei5 256ssd Ram8
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 13:43
                                    
                    150 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/promo-hp-elitebook-840-corei5-256ssd-ram8-6250534,Neuf,HP,Grise,Corei5,8.0,512.0,150 000 F Cfa
1737994513-397,https://www.expat-dakar.com/ordinateurs?page=56,"Msi Gamer Corei7 1To Ram32 Rtx 8Giga dédié
                                NeufMSI
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 13:47
                                    
                    500 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/msi-gamer-corei7-1to-ram32-rtx-8giga-dedie-6250542,Neuf,MSI,Noire,Corei7,32.0,1024.0,500 000 F Cfa
1737994515-398,https://www.expat-dakar.com/ordinateurs?page=56,"Hp EliteBook 840 G11 ultra7 512ssd Ram16 15Th Gen
                                NeufHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        8. janv., 14:14
                                    
                    800 000 F Cfa
                        
                        772469375
                    
                        338428630",https://www.expat-dakar.com/annonce/hp-elitebook-840-g11-ultra7-512ssd-ram16-15th-gen-6250566,Neuf,HP,Gris,Ultra7,16.0,512.0,800 000 F Cfa
1737994517-399,https://www.expat-dakar.com/ordinateurs?page=56,"Build PC - Gaming PC
                                VenantMSI
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        mercredi, 12:29
                                    
                    2 700 000 F Cfa
                        
                        776620672",https://www.expat-dakar.com/annonce/build-pc-gaming-pc-6245247,Venant,MSI,Gris,5.10 Ghz,16.0,2048.0,2 700 000 F Cfa
1737994520-400,https://www.expat-dakar.com/ordinateurs?page=56,"Dell latitude 7420
                                VenantDell
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 16:31
                                    
                    340 000 F Cfa
                        
                        775227575",https://www.expat-dakar.com/annonce/dell-latitude-7420-6250704,Venant,Dell,Gris,I7 11th GEN,32.0,512.0,340 000 F Cfa
1737994522-401,https://www.expat-dakar.com/ordinateurs?page=56,"MacBook Pro M3 Pro
                                NeufApple
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        8. janv., 17:26
                                    
                    1 200 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676",https://www.expat-dakar.com/annonce/macbook-pro-m3-pro-6224484,Neuf,Apple,Black,M3 Pro,18.0,1024.0,1 200 000 F Cfa
1737994526-402,https://www.expat-dakar.com/ordinateurs?page=56,"DELL VOSTRO 5502 11th GENERATION
                                VenantDell
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        8. janv., 18:04
                                    
                                            Vendeur vérifié
                                        
                    210 000 F Cfa
                        
                        772637272
                    
                        768395959
                    
                        772637272",https://www.expat-dakar.com/annonce/dell-vostro-5502-11th-generation-6249603,Venant,Dell,GRIS,I5,8.0,512.0,210 000 F Cfa
1737994529-403,https://www.expat-dakar.com/ordinateurs?page=56,"ASUS ROG STRIX G16 2023 INTEL CORE i7 VRAM 8Go
                                VenantASUS
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        8. janv., 21:38
                                    
                    950 000 F Cfa
                        
                        780126976
                    
                        778637676",https://www.expat-dakar.com/annonce/asus-rog-strix-g16-2023-intel-core-i7-vram-8go-6250858,Venant,ASUS,Noir,Intel Core i7 11e génération,24.0,512.0,950 000 F Cfa
1737994532-404,https://www.expat-dakar.com/ordinateurs?page=56,"MSI GP66 LEOPARD INTEL CORE I7 VRAM 8Go
                                NeufMSI
                                                                                    Gueule-Tapée,
                                                                                Dakar
                                    
                                        8. janv., 21:53
                                    
                    750 000 F Cfa
                        
                        780126976
                    
                        778637676",https://www.expat-dakar.com/annonce/msi-gp66-leopard-intel-core-i7-vram-8go-6250861,Neuf,MSI,Noir,Intel core i7 11e génération,24.0,1000.0,750 000 F Cfa
1737994537-405,https://www.expat-dakar.com/ordinateurs?page=55,"MacBook Pro 14” (2024) – PUCE  M4 Pro 14 Pouces
                                NeufApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        samedi, 05:43
                                    
                    1 500 000 F Cfa
                        
                        784459510
                    
                        338421058",https://www.expat-dakar.com/annonce/macbook-pro-14-2024-puce-m4-pro-14-pouces-6251084,Neuf,Apple,Space black,M4,24.0,512.0,1 500 000 F Cfa
1737994539-406,https://www.expat-dakar.com/ordinateurs?page=55,"IMAC SLIM 2013
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        9. janv., 07:46
                                    
                                            Vendeur vérifié
                                        
                    135 000 F Cfa
                        
                        778254000
                    
                        777779191
                    
                        338221257",https://www.expat-dakar.com/annonce/imac-slim-2013-6180574,Venant,Apple,GRIS,cor i5,8.0,500.0,135 000 F Cfa
