web-scraper-order,web-scraper-start-url,laptop_link,laptop_link-href,etat,marque,couleur,processeur ,RAM,stockage,prix
"1737994112-253","https://www.expat-dakar.com/ordinateurs?page=72","MacBook Pro m3 14 pouces ram 18 disk 512 ssd
                                NeufApple
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        29. déc. '24, 18:39
                                    
                    1 290 000 F Cfa
                        
                        785430979
                    
                        786638546","https://www.expat-dakar.com/annonce/macbook-pro-m3-14-pouces-ram-18-disk-512-ssd-6244121","Neuf","Apple","Silveur","M3","18","512","1 290 000 F Cfa"
"1737994114-254","https://www.expat-dakar.com/ordinateurs?page=72","HP elitebook 1040 G7
                                NeufHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        jeudi, 14:58
                                    
                    350 000 F Cfa
                        
                        781459921
                    
                        781459921","https://www.expat-dakar.com/annonce/hp-elitebook-1040-g7-6244180","Neuf","HP","Gris","i7","32","1tera","350 000 F Cfa"
"1737994117-255","https://www.expat-dakar.com/ordinateurs?page=72","MacBook Pro 2019 16 Pouces
                                VenantApple
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 00:39
                                    
                                            Vendeur vérifié
                                        
                    495 000 F Cfa
                        
                        779890866","https://www.expat-dakar.com/annonce/macbook-pro-2019-16-pouces-6209606","Venant","Apple","","","","","495 000 F Cfa"
"1737994119-256","https://www.expat-dakar.com/ordinateurs?page=72","MACBOOK PRO M3PRO 18/512
                                NeufApple
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        28. déc. '24, 10:27
                                    
                    1 050 000 F Cfa
                        
                        776782323","https://www.expat-dakar.com/annonce/macbook-pro-m3pro-18512-6243421","Neuf","Apple","Noir","M3PRO","18","512","1 050 000 F Cfa"
"1737994121-257","https://www.expat-dakar.com/ordinateurs?page=72","MACBOOK AIR M3 8/256
                                NeufApple
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        30. déc. '24, 01:17
                                    
                    650 000 F Cfa
                        
                        776782323","https://www.expat-dakar.com/annonce/macbook-air-m3-8256-6243422","Neuf","Apple","MIDNIGT","M3","8","256","650 000 F Cfa"
"1737994124-258","https://www.expat-dakar.com/ordinateurs?page=72","Surface laptop 5 I7 16/512
                                NeufMicrosoft Surface
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        30. déc. '24, 01:18
                                    
                    450 000 F Cfa
                        
                        776782323","https://www.expat-dakar.com/annonce/surface-laptop-5-i7-16512-6243423","Neuf","Microsoft Surface","MIDNIGHT","I7","16","512","450 000 F Cfa"
"1737994126-259","https://www.expat-dakar.com/ordinateurs?page=72","Dell 5500/i7/512G/16G
                                NeufDell
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        30. déc. '24, 03:13
                                    
                    200 000 F Cfa
                        
                        770767272
                    
                        338225777","https://www.expat-dakar.com/annonce/dell-5500i7512g16g-6244231","Neuf","Dell","Grise","2.11Ghz","16go","512Go","200 000 F Cfa"
"1737994129-260","https://www.expat-dakar.com/ordinateurs?page=72","Magic Keyboard 13-inch
                                VenantApple
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        30. déc. '24, 07:11
                                    
                    220 000 F Cfa
                        
                        776782323","https://www.expat-dakar.com/annonce/magic-keyboard-13-inch-6244220","Venant","Apple","Noir","","","","220 000 F Cfa"
"1737994134-261","https://www.expat-dakar.com/ordinateurs?page=71","HP Zbook 15u Cor i7 ""GAMER""
                                VenantHP
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 09:03
                                    
                    200 000 F Cfa
                        
                        776088787","https://www.expat-dakar.com/annonce/hp-zbook-15u-cor-i7-gamer-6241407","Venant","HP","grise","i7","16","256 et 1000","200 000 F Cfa"
"1737994136-262","https://www.expat-dakar.com/ordinateurs?page=71","DELL PRÉCISION
                                NeufDell
                                                                                    Médina,
                                                                                Dakar
                                    
                                        30. déc. '24, 11:09
                                    
                    600 000 F Cfa
                        
                        774608085","https://www.expat-dakar.com/annonce/dell-precision-6243592","Neuf","Dell","","","32go","","600 000 F Cfa"
